| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          37 | 4e565f866ab027846b22228aec57eead5f2d2f99 |          38 | 364577506bfc84ab5a1430cf70f6d0f86f9f0f83 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 3        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          38 | 364577506bfc84ab5a1430cf70f6d0f86f9f0f83 |          39 | 7e64e04fbff3b159b7cdc9944644f599a0259223 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          38 | 364577506bfc84ab5a1430cf70f6d0f86f9f0f83 |          39 | 7e64e04fbff3b159b7cdc9944644f599a0259223 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          39 | 7e64e04fbff3b159b7cdc9944644f599a0259223 |          40 | ded8cca49b6879c9a17f223c8842f0127619a1cc | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          39 | 7e64e04fbff3b159b7cdc9944644f599a0259223 |          40 | ded8cca49b6879c9a17f223c8842f0127619a1cc | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          40 | ded8cca49b6879c9a17f223c8842f0127619a1cc |          41 | 43a1162a864de7b28c6778e05addcaaab5599b1f | add    | RUN        | apk --no-cache add gcc musl-dev                                                         |          |         4 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          40 | ded8cca49b6879c9a17f223c8842f0127619a1cc |          41 | 43a1162a864de7b28c6778e05addcaaab5599b1f | delete | RUN        | apk --no-cache add gcc musl-dev                                                         |          |         7 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          40 | ded8cca49b6879c9a17f223c8842f0127619a1cc |          41 | 43a1162a864de7b28c6778e05addcaaab5599b1f | add    | FROM       | alpine:3.11                                                                             |          |        11 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          40 | ded8cca49b6879c9a17f223c8842f0127619a1cc |          41 | 43a1162a864de7b28c6778e05addcaaab5599b1f | delete | FROM       | alpine:latest                                                                           |          |        10 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          41 | 43a1162a864de7b28c6778e05addcaaab5599b1f |          42 | 7cad21014cb8217f0ae9a911b61ba100fea5f84d | add    | FROM       | golang:1.13.10-alpine AS builder                                                        |          |         2 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          41 | 43a1162a864de7b28c6778e05addcaaab5599b1f |          42 | 7cad21014cb8217f0ae9a911b61ba100fea5f84d | delete | FROM       | golang:1.13.3-alpine AS builder                                                         |          |         2 |
| https://github.com/mcuadros/ofelia.git | ./Dockerfile |          42 | 7cad21014cb8217f0ae9a911b61ba100fea5f84d |          43 | d21d98382bf2f14dcaa0fedbe4efb1701aa0ba61 | modify | COPY       | --from=builder /go/bin/ofelia /usr/bin/ofelia                                           | 1        |        18 |
